num players,mean
5,1
6,0.8666666666666666
7,0.9166666666666666
8,0.7714285714285714
9,0.96875
10,0.8857142857142856
11,0.9312499999999999
12,0.8354978354978354
13,0.89453125
14,0.7922077922077924
15,0.8604910714285714
16,0.878166278166278
17,0.9257812499999998
18,0.8491338726632842
19,0.9043782552083334
20,0.8223992725540712
21,0.8837646484375
22,0.7978327142413828
23,0.8641218705610797
24,0.7752397913927055
25,0.9179585774739583
26,0.84954240805634
27,0.9040251511793869
28,0.8319265056645597
29,0.8904320171901158
30,0.8152444933364069
31,0.8772394657135009
32,0.7994517838121451
33,0.864478275179863
34,0.7844955309504772
35,0.8521602324703159
36,0.8463786697115869
37,0.900948202858369
38,0.8340449036521705
39,0.8913697966521502
40,0.82217214640487
41,0.8819909883895889
42,0.8107466636566365
43,0.8728245289863215
44,0.7997517320892108
45,0.8638775685738601
46,0.7891690423773707
47,0.8551531684102177
48,0.7789796285190865
49,0.8972944783940882
50,0.8333599090900295
51,0.890204449717169
52,0.8245487715516023
53,0.8832267694762829
54,0.815984490461391
55,0.8763666812293913
56,0.8076606535086824
57,0.869627628061439
58,0.7995701838782441
59,0.8630116298400926
60,0.7917056073670993
61,0.8565195833997775
62,0.7840592491356976
63,0.8501515019604277
64,0.8316204493793372
65,0.888290191027557
66,0.8248515790456017
67,0.8829103747204116
68,0.8182293380707442
69,0.8776013869849675
70,0.8117508628114679
71,0.8723648496464539
72,0.805413022492797
73,0.8672018523424784
74,0.7992125011375181
75,0.8621130418552391
76,0.7931458623842085
77,0.8570986969985669
78,0.7872096006596524
79,0.8521587914797653
80,0.7814001814526986
81,0.8861722830598133
82,0.8241902869655818
83,0.8819050498043449
