num players,mean
0,0.0
1,1.0
2,0.5
3,0.6666666666666666
4,0.5
5,0.8666666666666667
6,0.45833333333333337
7,0.7714285714285714
8,0.421875
9,0.9365079365079367
10,0.465625
11,0.8724386724386725
12,0.447265625
13,0.8206238206238206
14,0.4302455357142857
15,0.7775113775113776
16,0.4584263392857143
17,0.9161753279400339
18,0.4487169053819445
19,0.879268031590013
20,0.43910454644097224
21,0.8468722196276375
22,0.42978820800781253
23,0.8181007756993757
24,0.42085844097715436
25,0.936025017742611
26,0.4445388194842216
27,0.9094092427533448
28,0.4387906796329624
29,0.8851962183134985
30,0.4330363543260666
31,0.8630255192257903
32,0.427342150049905
33,0.8426108000480786
34,0.4217500876470962
35,0.8237208080476239
36,0.439565726600015
37,0.9256268138820372
38,0.4358900104240331
39,0.9072482478787478
40,0.4321513819691898
41,0.8900591972655186
42,0.42838649548015617
43,0.8739290756682908
44,0.424622468405672
45,0.8587472718178637
46,0.42087936015924027
47,0.8444192851551531
48,0.4171719595087215
49,0.9346851111358833
50,0.4325008905236384
51,0.9204351209264832
52,0.4299445711267184
53,0.9069072930865936
54,0.42734679310457485
55,0.8940386970295436
56,0.42472318565700945
57,0.8817741224290383
58,0.42208633205438123
59,0.8700648715165091
60,0.41944637507042526
61,0.8588677784646481
62,0.4168114916047709
63,0.8481444064900967
64,0.42927462765701624
65,0.9285778759283515
66,0.42744597792929745
67,0.9177459367588149
68,0.42557962697778895
69,0.9073388555105012
70,0.4236844594368769
71,0.8973277207707366
72,0.4217680071696074
73,0.8876864117302902
74,0.41983666508304707
75,0.878391252428469
76,0.417895869046915
77,0.8694207178059934
78,0.4159502432558996
79,0.8607551825386714
80,0.41400372281881137
81,0.9337293930008377
82,0.4250273871607382
83,0.9249080172373674
84,0.4236379874105731
85,0.9163697517644454
86,0.42222340754143767
87,0.9080987247195582
88,0.4207881569340096
89,0.9000803327555689
90,0.4193361985588331
91,0.8923011103708874
92,0.4178710190481177
93,0.8847486155764597
94,0.41639568881086525
95,0.8774113295165071
96,0.4149129137606306
97,0.8702785680545198
98,0.4134250799529501
99,0.8633404036578906
100,0.42281092526323516
101,0.9297436275911627
